business_id,reporting_period,maintenance_category_key,metric_id,metric_value,metric_unit,metric_status,source_value,source_workbook,source_sheet,source_row
ausnet_transmission,2020-21,transmission_lines_maintenance::transmission_cables,maintenance_cycle_years,1.0,years,numeric,1.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,15
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_switchbays,asset_quantity_at_year_end,1158.0,count,numeric,1158.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,16
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_switchbays,quantity_inspected_maintained,2173.0,count,numeric,2173.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,16
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_switchbays,average_age_of_asset_group,22.46768006137912,years,numeric,22.46768006137912,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,16
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_switchbays,inspection_cycle_years,1.0,years,numeric,1.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,16
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_switchbays,maintenance_cycle_years,6.0,years,numeric,6.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,16
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_power_transformers,asset_quantity_at_year_end,173.0,count,numeric,173.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,17
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_power_transformers,quantity_inspected_maintained,1173.0,count,numeric,1173.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,17
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_power_transformers,average_age_of_asset_group,29.11849710982659,years,numeric,29.11849710982659,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,17
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_power_transformers,inspection_cycle_years,1.0,years,numeric,1.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,17
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_power_transformers,maintenance_cycle_years,4.0,years,numeric,4.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,17
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_property,asset_quantity_at_year_end,47.0,count,numeric,47.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,18
ausnet_transmission,2020-21,substations_equipment_property_maintenance::substation_property,quantity_inspected_maintained,1277.0,count,numeric,1277.0,AusNet (T) 2020-21 - Category Analysis - RIN Response - Consolidated - 29 July 2021 - PU(12595757.1).xlsx,2.8 Maintenance,18
