reporting_period,maintenance_activity,maintenance_asset_category,measure_asset_quantity,source_unit,asset_quantity_at_year_end,quantity_inspected_maintained,average_age_of_asset_group,inspection_cycle_years,maintenance_cycle_years,source_workbook,source_sheet,source_row
2016-17,Transmission lines maintenance,Transmission towers,Number of towers,0's,13.257,13.257,45.2,0.5,Nil. Cond mon.&corr mtce,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,12
2016-17,Transmission lines maintenance,Transmission tower support structures,Number of towers,0's,58.956,58.956,43.3420447284345,0.5,Nil. Cond mon.&corr mtce,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,13
2016-17,Transmission lines maintenance,Conductors,Route length,km,5.49237,5.49237,43.7,0.5,Nil. Cond mon.&corr mtce,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,14
2016-17,Transmission lines maintenance,Transmission cables,Route length,km,0.027,0.027,13.4,0.02,Nil. Cond mon.&corr mtce,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,15
2016-17,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,1.467,1.467,24.9,0.25,6,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,16
2016-17,Substations equipment & property maintenance,Substation power transformers,Number of transformers,0's,0.139,0.139,28.2,0.25,6,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,17
2016-17,Substations equipment & property maintenance,Substation property,Number of substation properties maintained,0's,0.078,0.078,38.4,0.25,0.5,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,18
2016-17,SCADA & network control maintenance,SCADA & network control maintenance,Number of Comms Sites,0's,121.0,121.0,28.9,0.5,Nil. Cond mon.&corr mtce,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,19
2016-17,Protection systems maintenance,Protection systems maintenance,Number of Protection Systems,0's,1391.0,1391.0,13.0,0.25,4,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,20
2016-17,Other maintenance activity ,Right of way (Row Maintenance),Length (Route KM),km,4536.0,4536.0,43.7,0.5,3,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,21
2017-18,Transmission lines maintenance,Transmission towers,Number of towers,0's,37419.0,7911.0,38.042507451663106,5.040955631399317,5.3489500842998,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,12
2017-18,Transmission lines maintenance,Transmission tower support structures,Number of towers,0's,0.0,0.0,0.0,0.0,0.0,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,13
